"date","timestamp","session","href","txt"
"2022-12-27","202212271419","midday","https://www.theguardian.com/uk-news/2022/dec/27/uk-rail-passengers-warned-of-severe-disruption-into-new-year","Rail travel  Passengers warned of severe disruption into new year "
"2022-12-27","202212271419","midday","https://www.theguardian.com/world/live/2022/dec/27/russia-ukraine-war-fighting-in-donbas-difficult-and-painful-zelenskiy-says-9-million-ukrainians-without-power-live","Live  Air raid warning across Ukraine; Russia bringing in reserves near Kreminna, local official says "
"2022-12-27","202212271419","midday","https://www.theguardian.com/uk-news/2022/dec/27/man-dies-after-boxing-day-stabbing-at-birmingham-nightclub","Birmingham  Man dies after Boxing Day stabbing at nightclub  "
"2022-12-27","202212271419","midday","https://www.theguardian.com/music/2022/dec/27/melanie-c-cancels-poland-concert-issues-brought-attention-lgbtq","Melanie C  Singer cancels Poland concert over ‘issues brought to my attention’ "
"2022-12-27","202212271419","midday","https://www.theguardian.com/business/2022/dec/27/chuka-umunna-advises-czech-tycoon-accused-of-royal-mail-plot","Chuka Umunna  Ex-Labour MP advises Czech tycoon accused of Royal Mail plot "
"2022-12-27","202212271419","midday","https://www.theguardian.com/world/2022/dec/27/israeli-authorities-jerusalem-bombing-suspect-aslam-farouh-identifies-with-islamic-state","Israel  Jerusalem bombing suspect ‘identifies with Islamic State’, say Israeli authorities "
"2022-12-27","202212271419","midday","https://www.theguardian.com/us-news/2022/dec/27/new-york-snowstorm-death-toll-us-winter-storm-buffalo","New York  Winter storm death toll at 28 with more snow on the way "
"2022-12-27","202212271419","midday","https://www.theguardian.com/education/2022/dec/27/jamie-oliver-calls-for-expansion-of-free-school-meals","Free school meals  Jamie Oliver calls for expansion of scheme in England "
"2022-12-27","202212271419","midday","https://www.theguardian.com/music/2022/dec/27/taylor-swift-propels-uk-vinyl-sales-past-cds-for-first-time-in-35-years","Exclusive  Taylor Swift helps propel UK vinyl sales past CDs for first time in 35 years "
"2022-12-27","202212271419","midday","https://www.theguardian.com/us-news/2022/dec/27/new-york-congressman-elect-george-santos-admits-lying-about-college-and-work-history","New York  Congressman-elect admits lying about college and work history "
