"date","timestamp","session","href","txt"
"2022-09-25","202209251832","evening","https://www.theguardian.com/politics/live/2022/sep/25/keir-starmer-labour-party-conference-uk-politics-live-news","Live  Andy Burnham says nationalising railways ‘a no brainer’ in Guardian interview at Labour conference "
"2022-09-25","202209251832","evening","https://www.theguardian.com/politics/2022/sep/25/liz-truss-promised-chief-of-staff-next-tory-election-campaign-in-exchange-for-no-10-job","Mark Fullbrook  Liz Truss ‘promised chief of staff next Tory election campaign in exchange for No 10 job’ "
"2022-09-25","202209251832","evening","https://www.theguardian.com/world/live/2022/sep/25/italy-general-election-2022-results-live-giorgia-meloni-latest-news","Live  Italy general election 2022: voting enters final hours "
"2022-09-25","202209251832","evening","https://www.theguardian.com/world/live/2022/sep/25/russia-ukraine-war-latest-updates-shelling-hits-south-ukraine-lavrov-offers-full-protection-for-any-annexed-territory","Live  Russia-Ukraine war: 2,000 detained during protests in Russia; Putin allies concerned over mobilisation ‘excesses’ "
"2022-09-25","202209251832","evening","https://www.theguardian.com/uk-news/2022/sep/25/protesters-clash-with-police-outside-iranian-embassy-in-london","London  Protesters clash with police outside Iranian embassy "
"2022-09-25","202209251832","evening","https://www.theguardian.com/uk-news/2022/sep/25/uk-broadcasters-battle-monarchy-over-control-of-queens-memorial-footage","Television  UK broadcasters battle monarchy over control of Queen’s memorial footage "
"2022-09-25","202209251832","evening","https://www.theguardian.com/culture/2022/sep/25/museums-england-wales-powers-to-dispose-objects-moral-grounds","Restitution  Museums in England and Wales to gain powers to dispose of objects on moral grounds "
"2022-09-25","202209251832","evening","https://www.theguardian.com/politics/2022/sep/25/alleged-chris-pincher-victims-to-appeal-decision-to-drop-groping-claims","Chris Pincher  Alleged victims to appeal against decision to drop groping claims "
"2022-09-25","202209251832","evening","https://www.theguardian.com/politics/2022/sep/25/kwasi-kwartang-mulls-more-beneficial-tax-cuts-for-high-earners","Taxation  Kwasi Kwarteng mulls more beneficial cuts for high earners "
"2022-09-25","202209251832","evening","https://www.theguardian.com/uk-news/2022/sep/25/new-met-police-chief-snubs-head-of-national-black-police-association-mark-rowley","Exclusive  New Met police chief snubs head of National Black Police Association "
"2022-09-25","202209251832","evening","https://www.theguardian.com/science/2022/sep/25/target-venus-not-mars-for-first-crewed-mission-to-another-planet-experts-say","‘Earth’s sister’  Target Venus not Mars for first crewed mission to another planet, experts say "
